iter	Passed	Remaining
0	142	142730
1	271	135528
2	392	130505
3	515	128413
4	643	127982
5	760	125918
6	879	124809
7	1002	124362
8	1126	123996
9	1245	123292
10	1366	122833
11	1487	122456
12	1605	121931
13	1725	121504
14	1845	121187
15	1961	120648
16	2079	120266
17	2197	119901
18	2323	119985
19	2450	120061
20	2568	119723
21	2701	120095
22	2841	120705
23	2973	120903
24	3099	120890
25	3226	120868
26	3346	120600
27	3464	120267
28	3585	120046
29	3704	119762
30	3831	119768
31	3955	119664
32	4083	119662
33	4199	119324
34	4319	119088
35	4449	119141
36	4568	118912
37	4687	118664
38	4809	118515
39	4927	118250
40	5047	118053
41	5167	117872
42	5290	117745
43	5407	117500
44	5531	117401
45	5651	117213
46	5770	117014
47	5889	116803
48	6012	116699
49	6132	116513
50	6258	116452
51	6385	116410
52	6510	116331
53	6629	116140
54	6754	116060
55	6874	115882
56	6994	115713
57	7114	115551
58	7233	115373
59	7357	115271
60	7483	115196
61	7600	114987
62	7721	114841
63	7839	114656
64	7962	114532
65	8080	114347
66	8199	114181
67	8318	114006
68	8440	113878
69	8558	113699
70	8678	113548
71	8796	113376
72	8915	113214
73	9032	113033
74	9152	112880
75	9270	112706
76	9392	112590
77	9513	112455
78	9634	112318
79	9878	113603
80	10019	113679
81	10156	113699
82	10276	113541
83	10401	113423
84	10521	113256
85	10641	113100
86	10761	112933
87	10884	112802
88	11003	112627
89	11124	112479
90	11242	112297
91	11363	112150
92	11484	112005
93	11604	111846
94	11723	111684
95	11846	111555
96	11964	111379
97	12084	111229
98	12201	111043
99	12320	110884
100	12438	110711
101	12557	110551
102	12674	110378
103	12793	110222
104	12912	110061
105	13034	109934
106	13152	109767
107	13273	109625
108	13391	109462
109	13512	109331
110	13632	109182
111	13753	109043
112	13872	108895
113	13996	108781
114	14116	108633
115	14239	108514
116	14357	108358
117	14477	108215
118	14596	108066
119	14717	107931
120	14836	107781
121	14955	107633
122	15074	107483
123	15197	107360
124	15314	107201
125	15436	107074
126	15552	106910
127	15672	106769
128	15792	106633
129	15916	106515
130	16032	106352
131	16155	106232
132	16272	106079
133	16394	105952
134	16513	105810
135	16632	105664
136	16750	105514
137	16867	105363
138	16987	105225
139	17106	105082
140	17223	104931
141	17346	104809
142	17463	104660
143	17587	104547
144	17706	104405
145	17826	104274
146	17947	104143
147	18068	104014
148	18188	103883
149	18320	103815
150	18464	103815
151	18584	103680
152	18701	103527
153	18821	103397
154	18940	103257
155	19060	103122
156	19176	102969
157	19296	102835
158	19417	102702
159	19535	102559
160	19654	102423
161	19771	102275
162	19891	102139
163	20015	102027
164	20132	101884
165	20254	101762
166	20373	101624
167	20496	101505
168	20614	101365
169	20735	101238
170	20859	101124
171	20978	100988
172	21098	100856
173	21218	100726
174	21337	100592
175	21463	100487
176	21584	100360
177	21706	100242
178	21826	100107
179	21949	99989
180	22069	99863
181	22191	99741
182	22311	99608
183	22433	99488
184	22552	99352
185	22672	99221
186	22789	99079
187	22910	98954
188	23030	98824
189	23147	98683
190	23267	98551
191	23386	98419
192	23506	98288
193	23624	98151
194	23741	98008
195	23859	97872
196	23977	97737
197	24155	97840
198	24353	98025
199	24472	97891
